"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"51","RT @MerrillLynched: @realDonaldTrump @FLOTUS Melania’s #BeBest campaign has been as ineffective as Donald’s Covid-19 testing.  Both total f…",FALSE,0,NA,2020-05-07 23:51:50,FALSE,NA,"1258545106631577600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mojo70351087",20,TRUE,FALSE,NA,NA
"52","RT @2020Commander: Must see! Maybe bitchute will keep it up for all to see! Big pharma and money grabbing liars! That's why we are locked d…",FALSE,0,NA,2020-05-07 23:51:39,FALSE,NA,"1258545058610950144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2020Commander",68,TRUE,FALSE,NA,NA
"53","RT @KDuffySr: The left follows its own rules while it enforces draconian rules for the rest of us. Especially the hypocrisy of their leftis…",FALSE,0,NA,2020-05-07 23:51:35,FALSE,NA,"1258545043305947137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TribulationThe",135,TRUE,FALSE,NA,NA
"54","@parscale @WhiteHouse @realDonaldTrump Don't see the irony in that?  We are walking around like a dystopian society… https://t.co/28STGr8VZO",FALSE,0,"parscale",2020-05-07 23:50:47,TRUE,"1258533026662772736","1258544841392189440","17685258","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DarylynnM",0,FALSE,FALSE,NA,NA
"55","RT @the_resistor: @LindseyGrahamSC The TRUTH IS going to come out 

It ISN'T CHINA'S or @WHO's Fault

It IS @realDonaldTrump's FAULT

Trump…",FALSE,0,NA,2020-05-07 23:50:30,FALSE,NA,"1258544771494146048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rocket_this",49,TRUE,FALSE,NA,NA
"56","RT @the_resistor: @kylegriffin1 It doesn't matter if they test you EVERY HOUR @realDonaldTrump  ~  your OWN CARELESSNESS may have caused yo…",FALSE,0,NA,2020-05-07 23:50:20,FALSE,NA,"1258544726791184384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Embroideries",50,TRUE,FALSE,NA,NA
"57","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:50:14,FALSE,NA,"1258544702036389888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","marylispastit",1300,TRUE,FALSE,NA,NA
"58","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:50:07,FALSE,NA,"1258544672009420803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andreasayswut",1300,TRUE,FALSE,NA,NA
"59","RT @KDuffySr: The left follows its own rules while it enforces draconian rules for the rest of us. Especially the hypocrisy of their leftis…",FALSE,0,NA,2020-05-07 23:50:05,FALSE,NA,"1258544667135627264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","White2to4",135,TRUE,FALSE,NA,NA
"60","Not that I’m advocating the assassination of POTUS 45 but I’m more than happy to slip a Benjamin to any Covid posit… https://t.co/QcxwvitA7E",FALSE,0,NA,2020-05-07 23:49:49,TRUE,NA,"1258544600202895361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeardyKent",0,FALSE,FALSE,NA,NA
"61","RT @rnlynn1958: I believe COVID-19 Is Being Weaponized By The @DNC @SpeakerPelosi #DeepStateCabal to Take Down The Greatest President Of Al…",FALSE,0,NA,2020-05-07 23:49:07,FALSE,NA,"1258544419990409217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","corron_eva",113,TRUE,FALSE,NA,NA
"62","RT @AlanLunin: So @realdonaldtrump doesn't think doing Covid-19 testing on everyone is important.  Except for him.  When once a week isn't…",FALSE,0,NA,2020-05-07 23:49:04,FALSE,NA,"1258544408066093056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatFerrillo",1,TRUE,FALSE,NA,NA
"63","RT @the_resistor: @kylegriffin1 It doesn't matter if they test you EVERY HOUR @realDonaldTrump  ~  your OWN CARELESSNESS may have caused yo…",FALSE,0,NA,2020-05-07 23:48:49,FALSE,NA,"1258544348498542594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cindyfine12",50,TRUE,FALSE,NA,NA
"64","@realDonaldTrump @VP If my people, which are called by my name, shall humble themselves, and pray, and seek my face… https://t.co/OE3DRRDcnb",FALSE,0,"realDonaldTrump",2020-05-07 23:48:36,TRUE,"1258432889303248896","1258544293460889601","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Touchdown63",0,FALSE,FALSE,NA,NA
"65","@autumnsgrammy Isn't it hilarious that the most secure house, WH, in the country has been infiltrated with Covid 19… https://t.co/v701cBaR0s",FALSE,2,"autumnsgrammy",2020-05-07 23:48:27,TRUE,NA,"1258544253350760448","805112058631114752","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urgentfacts",2,FALSE,FALSE,NA,NA
"66","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:48:27,FALSE,NA,"1258544252927086592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judy_classy",1300,TRUE,FALSE,NA,NA
"67","RT @YourSinsR4given: 💥💥PLANDEMIC MOVIE 
TRAILER-THE HIDDEN 
AGENDA BEHIND COVID-19
PLEASE WATCH ‼️💥💥
@RudyGiuliani 
POTUS @realDonaldTrump…",FALSE,0,NA,2020-05-07 23:48:21,FALSE,NA,"1258544227316711425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trumpgirl_45_",23,TRUE,FALSE,NA,NA
"68","RT @no_silenced: San Francisco Delivers Weed, Opioids, Booze and Ciggies to Homeless Locked Up for COVID-19

Mr President, can you please n…",FALSE,0,NA,2020-05-07 23:48:11,FALSE,NA,"1258544186120212480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kara56276647",524,TRUE,FALSE,NA,NA
"69","@parscale @WhiteHouse @realDonaldTrump I thought Repugs didn't get Covid-19.",FALSE,0,"parscale",2020-05-07 23:47:43,FALSE,"1258533026662772736","1258544070395215873","17685258","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DrSooz321",0,FALSE,FALSE,NA,NA
"70","RT @KDuffySr: The left follows its own rules while it enforces draconian rules for the rest of us. Especially the hypocrisy of their leftis…",FALSE,0,NA,2020-05-07 23:47:40,FALSE,NA,"1258544055127994368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LucidTF",135,TRUE,FALSE,NA,NA
"71","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:47:14,FALSE,NA,"1258543949423079424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sweeper53",1300,TRUE,FALSE,NA,NA
"72","RT @iatoday: Pentagon @DeptofDefense to Quarantine @POTUS @realDonaldTrump Valet who Tested Positive for #COVID https://t.co/LrujttLdCq  @t…",FALSE,0,NA,2020-05-07 23:47:02,FALSE,NA,"1258543897430523904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tejindersingh",3,TRUE,FALSE,NA,NA
"73","@boughton_aaron @tappnfast @FANofUSA @Bella22537764 @robsaxan @ElfMush @GuardianUS @realDonaldTrump @PressSec @VP… https://t.co/7JK3ZwxCvz",FALSE,1,"boughton_aaron",2020-05-07 23:46:30,TRUE,"1258490080819372034","1258543762780721152","1213165031036084226","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PetraDejewels",0,FALSE,FALSE,NA,NA
"74","RT @iatoday: Pentagon @DeptofDefense to Quarantine @POTUS @realDonaldTrump Valet who Tested Positive for #COVID https://t.co/LrujttLdCq  @t…",FALSE,0,NA,2020-05-07 23:46:25,FALSE,NA,"1258543743956742146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GlobalStratView",3,TRUE,FALSE,NA,NA
